"","Year","value","measurement","area"
"41","1999","Landings (lbs)","2136116","Apalachicola"
"42","1999","Total Trips","24510","Apalachicola"
"43","2000","CPUE","92.313525394458","Apalachicola"
"44","2000","Landings (lbs)","2351964","Apalachicola"
"45","2000","Total Trips","25478","Apalachicola"
"46","2001","CPUE","92.9442361943038","Apalachicola"
"47","2001","Landings (lbs)","2405118","Apalachicola"
"48","2001","Total Trips","25877","Apalachicola"
"49","2002","CPUE","86.2542734008038","Apalachicola"
"50","2002","Landings (lbs)","1781237","Apalachicola"
"51","2002","Total Trips","20651","Apalachicola"
"52","2003","CPUE","80.1993301642178","Apalachicola"
"53","2003","Landings (lbs)","1484650","Apalachicola"
"54","2003","Total Trips","18512","Apalachicola"
"55","2004","CPUE","85.465765715247","Apalachicola"
"56","2004","Landings (lbs)","1524111","Apalachicola"
"57","2004","Total Trips","17833","Apalachicola"
"58","2005","CPUE","99.6899698399196","Apalachicola"
"59","2005","Landings (lbs)","1289091","Apalachicola"
"60","2005","Total Trips","12931","Apalachicola"
"61","2006","CPUE","95.2828590049967","Apalachicola"
"62","2006","Landings (lbs)","2192935","Apalachicola"
"63","2006","Total Trips","23015","Apalachicola"
"64","2007","CPUE","93.1502154524501","Apalachicola"
"65","2007","Landings (lbs)","2788638","Apalachicola"
"66","2007","Total Trips","29937","Apalachicola"
"67","2008","CPUE","83.476822842495","Apalachicola"
"68","2008","Landings (lbs)","2344697","Apalachicola"
"69","2008","Total Trips","28088","Apalachicola"
"70","2009","CPUE","68.0485395935181","Apalachicola"
"71","2009","Landings (lbs)","2742152","Apalachicola"
"72","2009","Total Trips","40297","Apalachicola"
"73","2010","CPUE","60.8666025429078","Apalachicola"
"74","2010","Landings (lbs)","2024971","Apalachicola"
"75","2010","Total Trips","33269","Apalachicola"
"76","2011","CPUE","60.8168627204294","Apalachicola"
"77","2011","Landings (lbs)","2900417","Apalachicola"
"78","2011","Total Trips","47691","Apalachicola"
"79","2012","CPUE","56.6725317872411","Apalachicola"
"80","2012","Landings (lbs)","3088823","Apalachicola"
"81","2012","Total Trips","54503","Apalachicola"
"82","2013","CPUE","41.1429173047473","Apalachicola"
"83","2013","Landings (lbs)","1074653","Apalachicola"
"84","2013","Total Trips","26120","Apalachicola"
"85","2014","CPUE","32.8683613989637","Apalachicola"
"86","2014","Landings (lbs)","608985","Apalachicola"
"87","2014","Total Trips","18528","Apalachicola"
"88","2015","CPUE","28.2908773270732","Apalachicola"
"89","2015","Landings (lbs)","518204","Apalachicola"
"90","2015","Total Trips","18317","Apalachicola"
"91","2016","CPUE","22.7220872311991","Apalachicola"
"92","2016","Landings (lbs)","374051","Apalachicola"
"93","2016","Total Trips","16462","Apalachicola"
"94","2017","CPUE","18.6884229590415","Apalachicola"
"95","2017","Landings (lbs)","268291","Apalachicola"
"96","2017","Total Trips","14356","Apalachicola"
"97","2018","CPUE","20.8982817869416","Apalachicola"
"98","2018","Landings (lbs)","60814","Apalachicola"
"99","2018","Total Trips","2910","Apalachicola"
"100","2019","CPUE","44.4276729559748","Apalachicola"
"101","2019","Landings (lbs)","21192","Apalachicola"
"102","2019","Total Trips","477","Apalachicola"
"103","2020","CPUE","40.1097744360902","Apalachicola"
"104","2020","Landings (lbs)","26673","Apalachicola"
"105","2020","Total Trips","665","Apalachicola"
"106","2021","CPUE","86.75","Apalachicola"
"107","2021","Landings (lbs)","347","Apalachicola"
"108","2021","Total Trips","4","Apalachicola"
"109","1986","CPUE","162.210036057692","Suwannee Sound"
"110","1986","Landings (lbs)","1079670","Suwannee Sound"
"111","1986","Total Trips","6656","Suwannee Sound"
"112","1987","CPUE","69.4801315428885","Suwannee Sound"
"113","1987","Landings (lbs)","507066","Suwannee Sound"
"114","1987","Total Trips","7298","Suwannee Sound"
"115","1988","CPUE","64.275454429897","Suwannee Sound"
"116","1988","Landings (lbs)","505655","Suwannee Sound"
"117","1988","Total Trips","7867","Suwannee Sound"
"118","1989","CPUE","63.4913733008017","Suwannee Sound"
"119","1989","Landings (lbs)","728627","Suwannee Sound"
"120","1989","Total Trips","11476","Suwannee Sound"
"121","1990","CPUE","42.4439699942297","Suwannee Sound"
"122","1990","Landings (lbs)","367777","Suwannee Sound"
"123","1990","Total Trips","8665","Suwannee Sound"
"124","1991","CPUE","47.5952084629745","Suwannee Sound"
"125","1991","Landings (lbs)","152971","Suwannee Sound"
"126","1991","Total Trips","3214","Suwannee Sound"
"127","1992","CPUE","47.0765649249871","Suwannee Sound"
"128","1992","Landings (lbs)","90999","Suwannee Sound"
"129","1992","Total Trips","1933","Suwannee Sound"
"130","1993","CPUE","58.6314893617021","Suwannee Sound"
"131","1993","Landings (lbs)","68892","Suwannee Sound"
"132","1993","Total Trips","1175","Suwannee Sound"
"133","1994","CPUE","62.2487980769231","Suwannee Sound"
"134","1994","Landings (lbs)","103582","Suwannee Sound"
"135","1994","Total Trips","1664","Suwannee Sound"
"136","1995","CPUE","59.1795878312071","Suwannee Sound"
"137","1995","Landings (lbs)","60304","Suwannee Sound"
"138","1995","Total Trips","1019","Suwannee Sound"
"139","1996","CPUE","70.2055449330784","Suwannee Sound"
"140","1996","Landings (lbs)","73435","Suwannee Sound"
"141","1996","Total Trips","1046","Suwannee Sound"
"142","1997","CPUE","65.6062874251497","Suwannee Sound"
"143","1997","Landings (lbs)","87650","Suwannee Sound"
"144","1997","Total Trips","1336","Suwannee Sound"
"145","1998","CPUE","66.2380457380457","Suwannee Sound"
"146","1998","Landings (lbs)","63721","Suwannee Sound"
"147","1998","Total Trips","962","Suwannee Sound"
"148","1999","CPUE","78.5867816091954","Suwannee Sound"
"149","1999","Landings (lbs)","136741","Suwannee Sound"
"150","1999","Total Trips","1740","Suwannee Sound"
"151","2000","CPUE","64.046670162559","Suwannee Sound"
"152","2000","Landings (lbs)","122137","Suwannee Sound"
"153","2000","Total Trips","1907","Suwannee Sound"
"154","2001","CPUE","63.9401639344262","Suwannee Sound"
"155","2001","Landings (lbs)","78007","Suwannee Sound"
"156","2001","Total Trips","1220","Suwannee Sound"
"157","2002","CPUE","65.9453471196455","Suwannee Sound"
"158","2002","Landings (lbs)","89290","Suwannee Sound"
"159","2002","Total Trips","1354","Suwannee Sound"
"160","2003","CPUE","61.0450236966825","Suwannee Sound"
"161","2003","Landings (lbs)","77283","Suwannee Sound"
"162","2003","Total Trips","1266","Suwannee Sound"
"163","2004","CPUE","62.6123853211009","Suwannee Sound"
"164","2004","Landings (lbs)","54598","Suwannee Sound"
"165","2004","Total Trips","872","Suwannee Sound"
"166","2005","CPUE","101.383319292334","Suwannee Sound"
"167","2005","Landings (lbs)","120342","Suwannee Sound"
"168","2005","Total Trips","1187","Suwannee Sound"
"169","2006","CPUE","86.5072674418605","Suwannee Sound"
"170","2006","Landings (lbs)","178551","Suwannee Sound"
"171","2006","Total Trips","2064","Suwannee Sound"
"172","2007","CPUE","85.1403429602888","Suwannee Sound"
"173","2007","Landings (lbs)","188671","Suwannee Sound"
"174","2007","Total Trips","2216","Suwannee Sound"
"175","2008","CPUE","62.8279411764706","Suwannee Sound"
"176","2008","Landings (lbs)","128169","Suwannee Sound"
"177","2008","Total Trips","2040","Suwannee Sound"
"178","2009","CPUE","54.4449225473322","Suwannee Sound"
"179","2009","Landings (lbs)","63265","Suwannee Sound"
"180","2009","Total Trips","1162","Suwannee Sound"
"181","2010","CPUE","64.5060240963855","Suwannee Sound"
"182","2010","Landings (lbs)","58894","Suwannee Sound"
"183","2010","Total Trips","913","Suwannee Sound"
"184","2011","CPUE","90.2203182374541","Suwannee Sound"
"185","2011","Landings (lbs)","147420","Suwannee Sound"
"186","2011","Total Trips","1634","Suwannee Sound"
"187","2012","CPUE","83.3969428007889","Suwannee Sound"
"188","2012","Landings (lbs)","169129","Suwannee Sound"
"189","2012","Total Trips","2028","Suwannee Sound"
"190","2013","CPUE","73.2032085561497","Suwannee Sound"
"191","2013","Landings (lbs)","150579","Suwannee Sound"
"192","2013","Total Trips","2057","Suwannee Sound"
"193","2014","CPUE","52.6666666666667","Suwannee Sound"
"194","2014","Landings (lbs)","65728","Suwannee Sound"
"195","2014","Total Trips","1248","Suwannee Sound"
"196","2015","CPUE","56.9259962049336","Suwannee Sound"
"197","2015","Landings (lbs)","210000","Suwannee Sound"
"198","2015","Total Trips","3689","Suwannee Sound"
"199","2016","CPUE","60.2230806373733","Suwannee Sound"
"200","2016","Landings (lbs)","374166","Suwannee Sound"
"201","2016","Total Trips","6213","Suwannee Sound"
"202","2017","CPUE","57.8858148282975","Suwannee Sound"
"203","2017","Landings (lbs)","477037","Suwannee Sound"
"204","2017","Total Trips","8241","Suwannee Sound"
"205","2018","CPUE","53.9096549050019","Suwannee Sound"
"206","2018","Landings (lbs)","417099","Suwannee Sound"
"207","2018","Total Trips","7737","Suwannee Sound"
"208","2019","CPUE","49.7122747006973","Suwannee Sound"
"209","2019","Landings (lbs)","377863","Suwannee Sound"
"210","2019","Total Trips","7601","Suwannee Sound"
"211","2020","CPUE","52.087661710755","Suwannee Sound"
"212","2020","Landings (lbs)","269762","Suwannee Sound"
"213","2020","Total Trips","5179","Suwannee Sound"
"214","2021","CPUE","56.375","Suwannee Sound"
"215","2021","Landings (lbs)","31570","Suwannee Sound"
"216","2021","Total Trips","560","Suwannee Sound"
"217","1986","CPUE","119.392839707079","State"
"218","1986","Landings (lbs)","2201007","State"
"219","1986","Total Trips","18435","State"
"220","1987","CPUE","72.0974292668086","State"
"221","1987","Landings (lbs)","3791748","State"
"222","1987","Total Trips","52592","State"
"223","1988","CPUE","48.0849126963236","State"
"224","1988","Landings (lbs)","2192095","State"
"225","1988","Total Trips","45588","State"
"226","1989","CPUE","48.1695231674748","State"
"227","1989","Landings (lbs)","1857754","State"
"228","1989","Total Trips","38567","State"
"229","1990","CPUE","54.1682713137245","State"
"230","1990","Landings (lbs)","2250475","State"
"231","1990","Total Trips","41546","State"
"232","1991","CPUE","54.3337394457982","State"
"233","1991","Landings (lbs)","1917655","State"
"234","1991","Total Trips","35294","State"
"235","1992","CPUE","68.0548448909835","State"
"236","1992","Landings (lbs)","2628142","State"
"237","1992","Total Trips","38618","State"
"238","1993","CPUE","83.2292195194747","State"
"239","1993","Landings (lbs)","2788595","State"
"240","1993","Total Trips","33505","State"
"241","1994","CPUE","85.9866340668297","State"
"242","1994","Landings (lbs)","2110112","State"
"243","1994","Total Trips","24540","State"
"244","1995","CPUE","81.3764997040943","State"
"245","1995","Landings (lbs)","1512545","State"
"246","1995","Total Trips","18587","State"
"247","1996","CPUE","91.3024033305999","State"
"248","1996","Landings (lbs)","1447417","State"
"249","1996","Total Trips","15853","State"
"250","1997","CPUE","89.5556970382947","State"
"251","1997","Landings (lbs)","1898939","State"
"252","1997","Total Trips","21204","State"
"253","1998","CPUE","82.5453713177877","State"
"254","1998","Landings (lbs)","1532785","State"
"255","1998","Total Trips","18569","State"
"256","1999","CPUE","85.1738018702513","State"
"257","1999","Landings (lbs)","2331718","State"
"258","1999","Total Trips","27376","State"
"259","2000","CPUE","89.3620054238231","State"
"260","2000","Landings (lbs)","2570230","State"
"261","2000","Total Trips","28762","State"
"262","2001","CPUE","90.4122033186305","State"
"263","2001","Landings (lbs)","2582715","State"
"264","2001","Total Trips","28566","State"
"265","2002","CPUE","83.4239224137931","State"
"266","2002","Landings (lbs)","1935435","State"
"267","2002","Total Trips","23200","State"
"268","2003","CPUE","77.7980894290712","State"
"269","2003","Landings (lbs)","1734664","State"
"270","2003","Total Trips","22297","State"
"271","2004","CPUE","82.405682715075","State"
"272","2004","Landings (lbs)","1670528","State"
"273","2004","Total Trips","20272","State"
"274","2005","CPUE","96.5384819532909","State"
"275","2005","Landings (lbs)","1455028","State"
"276","2005","Total Trips","15072","State"
"277","2006","CPUE","92.6197295147176","State"
"278","2006","Landings (lbs)","2444883","State"
"279","2006","Total Trips","26397","State"
"280","2007","CPUE","91.2155852762215","State"
"281","2007","Landings (lbs)","3028175","State"
"282","2007","Total Trips","33198","State"
"283","2008","CPUE","81.067963929758","State"
"284","2008","Landings (lbs)","2562153","State"
"285","2008","Total Trips","31605","State"
"286","2009","CPUE","67.8259119672436","State"
"287","2009","Landings (lbs)","2915429","State"
"288","2009","Total Trips","42984","State"
"289","2010","CPUE","61.2516765504628","State"
"290","2010","Landings (lbs)","2210328","State"
"291","2010","Total Trips","36086","State"
"292","2011","CPUE","61.9029167802485","State"
"293","2011","Landings (lbs)","3179210","State"
"294","2011","Total Trips","51358","State"
"295","2012","CPUE","57.4431113507684","State"
"296","2012","Landings (lbs)","3408904","State"
"297","2012","Total Trips","59344","State"
"298","2013","CPUE","43.0386205976521","State"
"299","2013","Landings (lbs)","1290470","State"
"300","2013","Total Trips","29984","State"
"301","2014","CPUE","34.4293870466795","State"
"302","2014","Landings (lbs)","753797","State"
"303","2014","Total Trips","21894","State"
"304","2015","CPUE","33.994979718061","State"
"305","2015","Landings (lbs)","846441","State"
"306","2015","Total Trips","24899","State"
"307","2016","CPUE","34.2971101863016","State"
"308","2016","Landings (lbs)","881813","State"
"309","2016","Total Trips","25711","State"
"310","2017","CPUE","33.4809092018054","State"
"311","2017","Landings (lbs)","823396","State"
"312","2017","Total Trips","24593","State"
"313","2018","CPUE","43.8645342590297","State"
"314","2018","Landings (lbs)","530717","State"
"315","2018","Total Trips","12099","State"
"317","2019","Landings (lbs)","463342","State"
"318","2019","Total Trips","9547","State"
"319","2020","CPUE","49.463761605271","State"
"320","2020","Landings (lbs)","330319","State"
"321","2020","Total Trips","6678","State"
"322","2021","CPUE","55.2520593080725","State"
"323","2021","Landings (lbs)","33538","State"
"324","2021","Total Trips","607","State"
"325","Year",NA,"Year",NA
